smiles,score,S12T1,S1_exc,T2_exc,T1_exc
[O-][C+](O[Si+2]123(O[C+]([O-])[c-]4[cH+][cH-][cH+][cH-][cH+]4)N4[C+]5[N-][c+]6[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n61)[N-][c+]1[c-]6[cH+][cH-][cH+][cH-][c+]6[c-](n12)[N-][c+]1[c-]2[cH+][cH-][cH+][cH-][c+]2[c-](n13)[N-][C+]4[c-]1[cH+][cH-][cH+][cH-][c+]15)[c-]1[cH+][cH-][cH+][cH-][cH+]1,-7.474804200626862,0.038899999999999935,2.2323,1.0967,1.0549
CCCCCCCCCCCCCC[C+]([O-])O[Si+2]123(O[C+]([O-])CCCCCCCCCCCCCC)n4[c+]5[c-]6[c+]([c-]4[N-][c-]4[c+]7[cH-][cH-][cH+][cH-][c+]7[c+](n41)[N-][c+]1[c-]4[c+]([c-](n12)[N-][c-]1[c+]2[cH-][cH-][cH+][cH-][c+]2[c-](n13)[N-]5)[CH+][CH+][CH-][CH+]4)[CH+][CH+][CH-][CH+]6,-7.628567259759285,-0.0047999999999999154,2.2128,1.1088,1.0522
O=C1C(Cc2ccc(Cl)cc2)C#CC12C(c1ccccc1)C1(C#CC(Cc3ccc(Cl)cc3)C1=O)C2c1ccccc1,-0.5111267243794675,-0.08469999999999978,2.9401,1.5124,1.5097
CC(C)c1cccc(C(C)C)c1N1C(=[Si](C)[Si](C)=C2N(c3c(C(C)C)cccc3C(C)C)C(C)(C)CC2(C)C)C(C)(C)CC1(C)C,0.3015531197301861,0.28489999999999993,3.4191,1.5671,1.5358
CC(C)(C1=NC(=C(c2ccc[nH]2)c2c(F)c(F)c(F)c(F)c2F)C=C1)C1=NC(=C(c2ccc[nH]2)c2c(F)c(F)c(F)c(F)c2F)C=C1,-0.3209485306767209,-0.11860000000000026,3.3964,1.7575,1.7408
CC([c+]1[cH-][cH+][cH-][cH+][cH-]1)[C-]([O-])O[Si+2]123(O[C+]([O-])C(C)[c-]4[cH+][cH-][cH+][cH-][cH+]4)n4[c+]5[c-]6[cH+][cH-][cH+][cH-][c+]6[c-]4[N-][c+]4[c-]6[cH+][cH-][cH+][cH-][c+]6[c-](n41)[N-][c+]1[c-]4[cH+][cH-][cH+][cH-][c+]4[c-](n12)[N-][c+]1[c-]2[cH+][cH-][cH+][cH-][c+]2[c-](n13)[N-]5,-7.649614546433808,0.044700000000000184,2.2097,1.0825,1.0526
CCC1=C(C)C2=Cc3c(C)c(-c4c(C)c5n(c4C)[B-](F)(F)[N+]4=C(C)C(CC)=C(C)C4=C5)c(C)n3[B-](F)(F)[N+]2=C1C,-0.2064316840502883,-0.0671999999999997,2.9946,1.5309,1.5247
CCC1=C(CC)C2=[N+]3C1=Nc1c(CC)c(CC)c4n1[B-]1(c5ccccc5)O[B-]3(c3ccccc3)[N+]3=C(N=c5c(CC)c(CC)c(n51)=N4)C(CC)=C(CC)C3=N2,-8.502128720567823,-0.09170000000000034,2.1047,1.0982,1.0339
C[Si](C)(O[Si](C)(C)c1c(=O)o[n-][n+]1-c1ccccc1)c1c(=O)o[n-][n+]1-c1ccccc1,-8.924476825724314,0.09199999999999964,4.7664,2.3372,2.3343
CC1(C)C2=NC(=C(c3c(F)c(F)c(F)c(F)c3F)c3ccc([nH]3)C(C)(C)c3ccc(cc3)C(C)(C)C3=NC(=C(c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)C(C)(C)c4ccc1cc4)C=C3)C=C2,-0.4275546740822581,-0.11369999999999969,3.2785,1.6961,1.696
CC(C)(C)c1cc(C(C)(C)C)c(P=C2C(=Pc3c(C(C)(C)C)cc(C(C)(C)C)cc3C(C)(C)C)C2=Pc2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1,-2.865575794910964,0.09520000000000017,2.7888,1.3468,1.2333
CCC1=C(CC)C(C)=[N+]2C1=Cc1c3c(c(C)n1[B-]2(F)F)C1CCC3c2c1c(C)n1c2C=C2C(CC)=C(CC)C(C)=[N+]2[B-]1(F)F,-0.1122566457061784,-0.05259999999999998,3.059,1.5558,1.5444
COc1ccc(-[n+]2[n-]oc(=O)c2[Si](C)(C)O[Si](C)(C)c2c(=O)o[n-][n+]2-c2ccc(OC)cc2)cc1,-9.135036117427914,0.03250000000000064,4.7777,2.3726,2.3693
[O-]c1cn(CCn2cc([O-])[o+]n2)n[o+]1,-10.48157877540848,0.4592999999999998,4.9899,2.2653,2.2641
CC1=[N+]2C(=C(c3ccc(CC(C)C)cc3)c3ccc(CCc4ccc5n4[B-](F)(F)[N+]4=C(C)C=CC4=C5c4ccc(CC(C)C)cc4)n3[B-]2(F)F)C=C1,-0.3443039401860683,-0.10320000000000018,3.214,1.6586,1.6527
CCC1=C(C)C2=Cc3c(CC4=C(C)C(C)=[N+]5C4=Cc4c(C)c(CC)c(C)n4[B-]5(F)F)c(C)c(C)n3[B-](F)(F)[N+]2=C1C,0.1785733558178761,-0.006600000000000161,3.0904,1.5485,1.5212
CCCCCC[Si](CCCCCC)(CCCCCC)O[Si+2]123(O[Si](CCCCCC)(CCCCCC)CCCCCC)n4[c+]5[c+]6[cH-][cH+][cH-][cH-][c+]6[c+]4[N-][c+]4[c-]6[cH-][cH+][cH+][cH-][c-]6[c+](n41)[N-][c+]1[c-]4[cH-][cH+][cH-][cH-][c+]-4[c+](n12)[N-][c+]1[c-]2[cH-][cH+][cH+][cH-][c-]2[c+](n13)[N-]5,-6.812975323420762,-0.0817000000000001,2.2639,1.1728,1.1648
CCCC[Si](CCCC)(CCCC)O[Si+2]123(O[Si](CCCC)(CCCC)CCCC)N4[C+]5[N-][c+]6[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n61)[N-][c+]1[c-]6[cH+][cH-][cH+][cH-][c+]6[c-](n12)[N-][c+]1[c-]2[cH+][cH-][cH+][cH-][c+]2[c-](n13)[N-][C+]4[c-]1[cH+][cH-][cH+][cH-][c+]15,-6.817260865681057,-0.06840000000000002,2.2668,1.1676,1.1573
[O-][C+](O[Si+2]123(O[C+]([O-])[c-]4[cH+][cH-][cH+][c-]5[cH+][cH-][cH+][cH-][c+]45)N4[C+]5[N-][c+]6[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n61)[N-][c+]1[c-]6[cH+][cH-][cH+][cH-][c+]6[c-](n12)[N-][c+]1[c-]2[cH+][cH-][cH+][cH-][c+]2[c-](n13)[N-][C+]4[c-]1[cH+][cH-][cH+][cH-][c+]15)[c-]1[cH+][cH-][cH+][c-]2[cH+][cH-][cH+][cH-][c+]12,-7.711423724109036,-0.009700000000000042,2.2041,1.1069,1.0476
CC[Si](CC)(CC)O[Si+2]123(O[Si+2]456(O[Si](CC)(CC)CC)N7[C+]8[N-][c+]9[c-]%10[c+]([c-](n94)[N-][c+]4[c-]9[cH-][cH-][cH+][cH+][c-]9[c+](n45)[N-][c-]4[c-]5[c+]([c+](n46)[N-][C+]7[c-]4[cH-][cH+][cH-][cH+][c+]48)[CH-][CH+][CH-][CH-]5)[CH-][CH+][CH+][CH+]%10)N4[C+]5[N-][c+]6[c-]7[c+]([c-](n61)[N-][c+]1[c-]6[cH-][cH-][cH+][cH+][c-]6[c+](n12)[N-][c-]1[c-]2[c+]([c+](n13)[N-][C+]4[c-]1[cH-][cH+][cH-][cH+][c+]15)[CH-][CH+][CH-][CH-]2)[CH-][CH+][CH+][CH+]7,-15.523661579485426,-0.14279999999999982,1.3258,0.7343,0.7296
[O-]c1[o+]nn(CCn2n[o+]c([O-])c2Cl)c1Cl,-9.481764096283635,0.4569000000000001,4.8947,2.2189,2.1622
CCCCCCCCCCCCCCCCCCC[C+]([O-])O[Si+2]123(O[C+]([O-])CCCCCCCCCCCCCCCCCCC)N4[C+]5[N-][c+]6[c-]7[cH-][cH+][cH-][cH+][c+]7[c-](n61)[N-][c+]1[c-]6[cH-][cH+][cH-][cH+][c+]6[c-](n12)[N-][c+]1[c-]2[cH-][cH+][cH-][cH+][c+]2[c-](n13)[N-][C+]4[c-]1[cH-][cH+][cH-][cH+][c+]15,-7.654464064156387,0.0045999999999999375,2.2112,1.1033,1.0488
CC(C)[Si](C#CC1=c2nc3c(nc2=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C24N=S25=NC145)C(=O)c1nc2c(nc1C3=O)=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C13N=S14=NC34C=2C#C[Si](C(C)C)(C(C)C)C(C)C)(C(C)C)C(C)C,-6.509440397921493,0.2235999999999998,2.3638,1.0701,1.0613
CO[C+]1[CH-][CH+][C+](CC[C-]([O-])O[Si+2]234(O[C+]([O-])CC[c-]5[cH+][cH-][c+](OC)[c-](OC)[cH+]5)N5[C+]6[N-][c-]7[c-]8[cH+][cH-][cH+][cH-][c+]8[c+](n72)[N-][c-]2[c-]7[cH+][cH-][cH+][cH-][c+]7[c+](n23)[N-][c-]2[c+]3[cH-][cH+][cH-][cH+][c-]3[c+](n24)[N-][C+]5[c-]2[cH+][cH-][cH+][cH-][c+]26)[CH+][C-]1OC,-8.230978388893492,-0.00019999999999997797,2.1586,1.0794,1.0031
C[c-]1[cH+][cH-][cH+][c-](O[Si+2]234(O[c-]5[cH+][cH-][cH+][c-](C)[cH+]5)N5[C+]6[N-][c+]7[c-]8[cH+][cH-][cH+][cH-][c+]8[c-](n72)[N-][c+]2[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n23)[N-][c+]2[c-]3[cH+][cH-][cH+][cH-][c+]3[c-](n24)[N-][C+]5[c-]2[cH+][cH-][cH+][cH-][c+]26)[cH+]1,-7.639523922429565,-0.09109999999999996,2.2033,1.1472,1.0666
[cH+]1[cH-][cH+][c-]2[c+]([cH-]1)[C+]1[N-][c+]3[c-]4[cH+][cH-][cH+][cH-][c+]4[c-]4n3[Si+2]35(OCCC67CC8CC(CC(C8)C6)C7)(OCCC67CC8CC(CC(C8)C6)C7)N1[C+]2[N-][c-]1[c+]2[cH-][cH+][cH-][cH+][c-]2[c+](n13)[N-][c-]1[c+]2[cH-][cH+][cH-][cH+][c-]2[c+](n15)[N-]4,-6.959381950239705,-0.10920000000000041,2.264,1.1866,1.1246
[O-][C+](O[Si+2]123(O[C+]([O-])C45CC6CC(CC(C6)C4)C5)N4[C+]5[N-][c+]6[c-]7[cH-][cH+][cH-][cH+][c+]7[c-](n61)[N-][c+]1[c-]6[cH-][cH+][cH-][cH+][c+]6[c-](n12)[N-][c+]1[c-]2[cH-][cH+][cH-][cH+][c+]2[c-](n13)[N-][C+]4[c-]1[cH-][cH+][cH-][cH+][c+]15)C12CC3CC(CC(C3)C1)C2,-7.441515359164085,0.019700000000000273,2.2309,1.1056,1.0653
F[Si+2]123(F)N4[C+]5[N-][c+]6[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n61)[N-][c+]1[c-]6[cH+][cH-][cH+][cH-][c+]6[c-](n12)[N-][c+]1[c-]2[cH+][cH-][cH+][cH-][c+]2[c-](n13)[N-][C+]4[c-]1[cH+][cH-][cH+][cH-][c+]15,-6.804881671607633,0.06789999999999985,2.2919,1.112,1.1111
