Substructure,Count,Count_perc,count_per_molecule,Count_perc_per_molecule
O=[N+]([O-,1,3.125,1,100.0
=[N+]([O-],1,3.125,1,100.0
[N+]([O-]),1,3.125,1,100.0
N+]([O-])C,1,3.125,1,100.0
+]([O-])C1,1,3.125,1,100.0
]([O-])C1C,1,3.125,1,100.0
([O-])C1C=,1,3.125,1,100.0
[O-])C1C=C,1,3.125,1,100.0
O-])C1C=CO,1,3.125,1,100.0
-])C1C=COC,1,3.125,1,100.0
])C1C=COC2,1,3.125,1,100.0
)C1C=COC2(,1,3.125,1,100.0
C1C=COC2([,1,3.125,1,100.0
1C=COC2([N,1,3.125,1,100.0
C=COC2([N+,1,3.125,1,100.0
=COC2([N+],1,3.125,1,100.0
COC2([N+](,1,3.125,1,100.0
OC2([N+](=,1,3.125,1,100.0
C2([N+](=O,1,3.125,1,100.0
2([N+](=O),1,3.125,1,100.0
([N+](=O)[,1,3.125,1,100.0
[N+](=O)[O,1,3.125,1,100.0
N+](=O)[O-,1,3.125,1,100.0
+](=O)[O-],1,3.125,1,100.0
](=O)[O-]),1,3.125,1,100.0
(=O)[O-])C,1,3.125,1,100.0
=O)[O-])C=,1,3.125,1,100.0
O)[O-])C=C,1,3.125,1,100.0
)[O-])C=CO,1,3.125,1,100.0
[O-])C=COC,1,3.125,1,100.0
O-])C=COC1,1,3.125,1,100.0
-])C=COC12,1,3.125,1,100.0
