Smiles,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,max_similarity,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step,TSNEx,TSNEy
CC1(C)C=CC(c2oc(-c3ccc(Br)cc3)c3ccccc23)=C1,1,3.4482758620689653,1,3.4482758620689653,0.1683168316831683,0.0,0.0,0.0,0.0,23,0.0,420,17.435246,-7.636441
O=CSC(=Cc1coc2ccccc12)c1ccc(Cl)cc1,1,2.0408163265306123,1,2.0408163265306123,0.1875,0.0,0.0,0.0,0.0,21,0.0,70,-3.321223,0.08515883
O=C1OC(c2ccc(Cl)cc2)=NC1=C1Nc2ccccc2OC1=O,1,4.0,1,4.0,0.1491228070175438,0.0,0.0,0.0,0.0,24,0.0,200,-37.740467,-6.4849634
O=C1Cc2ccccc2C(=O)N1CC(Br)C(F)c1ccccc1,1,2.0,1,2.0,0.1308411214953271,0.0,0.0,0.0,0.0,23,0.0,20,-15.560518,-11.376782
CCC(=O)Oc1ccc(-c2oc(-c3ccco3)c3ccc(OC)cc23)cc1,1,3.4482758620689653,1,3.4482758620689653,0.128,0.0,0.0,0.0,0.0,27,0.0,420,31.469173,18.723093
CCC1(O)CCOC(=O)NC1Cc1ccccc1,1,2.0,1,2.0,0.1797752808988764,0.0,0.0,0.0,0.0,18,0.0,20,-9.911211,-1.9515753
CCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,6.666666666666667,1,6.666666666666667,0.1717171717171717,0.0,0.0,0.0,0.0,23,0.0,270,25.3632,-5.8011518
COS(=O)(=O)c1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)o1,1,4.3478260869565215,1,4.3478260869565215,0.1592920353982301,0.0,0.0,0.0,0.0,26,0.0,360,12.730529,7.4341197
O=C1OC(c2ccc([N+](=O)[O-])cc2)=NC1=Cc1ccccc1O,1,4.166666666666666,1,4.166666666666666,0.1509433962264151,0.0,0.0,0.0,0.0,23,0.0,170,-22.946806,17.219711
CCC1C(=O)c2ccccc2C1=O,1,2.564102564102564,1,2.564102564102564,0.2461538461538461,0.0,0.0,0.0,0.0,13,0.0,90,-19.705305,-7.9640627
CCOC(=O)Oc1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)o1,1,3.7037037037037033,1,3.7037037037037033,0.150375939849624,0.0,0.0,0.0,0.0,29,0.0,400,8.358108,6.1236496
CC(=O)Nc1ccc(-c2oc(-c3ccoc3)c3ccccc23)cc1,1,3.4482758620689653,1,3.4482758620689653,0.173076923076923,0.0,0.0,0.0,0.0,24,0.0,500,22.399076,-12.088
Nc1ccc(-c2oc(-c3ccccc3)c3cc(Br)ccc23)cc1Br,1,2.7777777777777777,1,2.7777777777777777,0.1619047619047619,0.0,0.0,0.0,0.0,24,0.0,380,17.592562,20.902275
O=C1OC(c2ccco2)=NC1=C1Nc2ccccc2OC1=O,1,5.0,1,5.0,0.1509433962264151,0.0,0.0,0.0,0.0,22,0.0,310,-36.830368,-6.13803
CS(=O)(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1,1,4.761904761904762,1,4.761904761904762,0.1651376146788991,0.0,0.0,0.0,0.0,26,0.0,230,28.228508,-8.558651
CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)o1,1,2.7777777777777777,1,2.7777777777777777,0.1574074074074074,0.0,0.0,0.0,0.0,25,0.0,380,15.254304,16.165089
CSc1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)o1,1,4.166666666666666,1,4.166666666666666,0.1523809523809524,0.0,0.0,0.0,0.0,23,0.0,210,16.62819,14.332482
O=C1OC(c2ccco2)=NC1=Cc1ccccc1O,1,4.166666666666666,1,4.166666666666666,0.1720430107526881,0.0,0.0,0.0,0.0,19,0.0,180,-15.27251,16.6758
CCOC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(OCC)cc23)cc1,1,4.761904761904762,1,4.761904761904762,0.1484375,0.0,0.0,0.0,0.0,29,0.0,220,28.7463,23.56038
O=C(O)C=Cc1coc2ccccc12,1,1.9230769230769231,1,1.9230769230769231,0.2361111111111111,0.0,0.0,0.0,0.0,14,0.0,60,-3.4647374,-0.84015167
CS(=O)(=O)c1ccc(-c2oc(-c3ccc(O)cc3)c3ccccc23)cc1,1,5.0,1,5.0,0.1651376146788991,0.0,0.0,0.0,0.0,26,0.0,290,28.249607,-8.333412
O=C(O)CC1Oc2ccccc2SC1=O,1,3.333333333333333,1,3.333333333333333,0.1794871794871795,0.0,0.0,0.0,0.0,15,0.0,150,-12.286789,-6.3654404
O=C1CC(=O)C(C2(O)C(=O)c3ccccc32)O1,1,2.0,1,2.0,0.2077922077922078,0.0,0.0,0.0,0.0,17,0.0,30,-16.78108,-9.157595
COc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1,1,3.4482758620689653,1,3.4482758620689653,0.1454545454545454,0.0,0.0,0.0,0.0,25,0.0,500,33.205116,-7.7790265
COC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)cc1,1,5.0,1,5.0,0.1592920353982301,0.0,0.0,0.0,0.0,26,0.0,250,27.381294,23.212635
CC(=O)OC(=CC#Cc1ccccc1)c1ccccc1,1,2.0,1,2.0,0.1505376344086021,0.0,0.0,0.0,0.0,20,0.0,30,-4.1659923,-9.368487
O=C1c2ccccc2-c2ccc(=O)oc21,1,1.9230769230769231,1,1.9230769230769231,0.2857142857142857,0.0,0.0,0.0,0.0,15,0.0,10,-23.371296,-7.3725924
O=C1OC(c2ccco2)=NC1=C1Nc2ccccc2C1=O,1,4.0,1,4.0,0.1666666666666666,0.0,0.0,0.0,0.0,21,0.0,120,-32.004585,-6.486314
O=C1OC(c2ccco2)=NC1=C(Nc1ccccn1)c1ccccc1,1,5.0,1,5.0,0.1775700934579439,0.0,0.0,0.0,0.0,25,0.0,310,-10.398866,17.998064
O=CC1=Cc2ccccc2C(=O)C1(O)O,1,1.9230769230769231,1,1.9230769230769231,0.2361111111111111,0.0,0.0,0.0,0.0,15,0.0,60,-16.345762,-2.303468
O=C1NC(c2ccc(Cl)cc2)=NC1=C1Nc2ccccc2OC1=O,1,4.166666666666666,1,4.166666666666666,0.1607142857142857,0.0,0.0,0.0,0.0,24,0.0,190,-35.39225,-4.878581
O=C1C(=C2OC(=O)c3cc(Cl)ccc3C2=O)Oc2ccccc21,1,3.8461538461538463,1,3.8461538461538463,0.1818181818181818,0.0,0.0,0.0,0.0,23,0.0,130,-25.047844,-5.5183687
O=C1C(=C2CC(=O)c3ccccc3N2)N=Cc2ccccc21,1,2.0,1,2.0,0.1553398058252427,0.0,0.0,0.0,0.0,22,0.0,20,-30.665472,-7.4049535
O=C1C=Cc2ccccc2C1=C1C=Cc2ccccc21,1,2.564102564102564,1,2.564102564102564,0.1648351648351648,0.0,0.0,0.0,0.0,20,0.0,140,-26.460331,-11.603359
O=CC1=Cc2ccccc2C(=O)C1c1ccc(Cl)cc1,1,1.9230769230769231,1,1.9230769230769231,0.2022471910112359,0.0,0.0,0.0,0.0,20,0.0,10,-12.300983,-20.759718
O=[N+]([O-])c1c(-c2ccccc2)oc2ccc(Br)cc12,1,3.333333333333333,1,3.333333333333333,0.2289156626506024,0.0,0.0,0.0,0.0,19,0.0,150,5.448414,-6.3399954
COc1ccccc1C1C(=O)C2=C1OC2=O,1,1.851851851851852,1,1.851851851851852,0.1891891891891892,0.0,0.0,0.0,0.0,16,0.0,80,-13.679016,-4.1447034
COC(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1,1,5.88235294117647,1,5.88235294117647,0.1504424778761062,0.0,0.0,0.0,0.0,26,0.0,470,33.009575,-13.24345
Nc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)o1,1,3.8461538461538463,1,3.8461538461538463,0.1979166666666666,0.0,0.0,0.0,0.0,22,0.0,280,10.687434,8.152078
O=C1NC(c2ccc([N+](=O)[O-])cc2)=NC1=C1Nc2ccccc2C1=O,1,2.564102564102564,1,2.564102564102564,0.1491228070175438,0.0,0.0,0.0,0.0,25,0.0,140,-32.92696,-4.752475
COn1c(-c2oc(-c3ccccc3)nc2-c2ccccc2)noc1=O,1,5.0,1,5.0,0.2079207920792079,0.0,0.0,0.0,0.0,25,0.0,310,5.349369,-0.57406014
