Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,max_similarity,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
O=C(O)c1ccc(N2C(=O)CC3(CC(=O)c4ccccc4O3)C2=O)cc1,1,1.9230769230769231,1,1.9230769230769231,0.18018018018018017,0.0,0.0,0.0,0.0,26,0.0,10
CC[N+]1(C)CCC(=O)C(C)(c2ccccc2)C1=O,1,1.9230769230769231,1,1.9230769230769231,0.21794871794871795,0.0,0.0,0.0,0.0,18,0.0,10
COC(=O)CC1Cc2ccccc2CC1(O)C(=O)OC,1,1.9230769230769231,1,1.9230769230769231,0.15625,0.0,0.0,0.0,0.0,20,0.0,10
O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1,1,1.9230769230769231,1,1.9230769230769231,0.1827956989247312,0.0,0.0,0.0,0.0,20,0.0,10
COC(=O)CC1=CCC2=CC(=O)NC2C1c1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.14705882352941177,0.0,0.0,0.0,0.0,21,0.0,10
COC(=O)C1(C2(C)CSC(=O)C2(C)O)CSC(=O)C(=O)Nc2ccccc2C1,1,1.9230769230769231,1,1.9230769230769231,0.16101694915254236,0.0,0.0,0.0,0.0,28,0.0,10
N#CC1CCC(=O)NC1c1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.20270270270270271,0.0,0.0,0.0,0.0,15,0.0,10
NC(=O)C1(C2OC(=O)c3ccccc3O2)CSCC1=O,1,1.9230769230769231,1,1.9230769230769231,0.2,0.0,0.0,0.0,0.0,20,0.0,10
O=c1ccc2c(o1)S(=O)(=O)c1ccccc1-2,1,1.9230769230769231,1,1.9230769230769231,0.2916666666666667,0.0,0.0,0.0,0.0,16,0.0,10
O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O,1,1.9230769230769231,1,1.9230769230769231,0.1346153846153846,0.0,0.0,0.0,0.0,23,0.0,10
COCC1=CC1(C)SC(=O)Cc1coc2ccccc12,1,1.9230769230769231,1,1.9230769230769231,0.1919191919191919,0.0,0.0,0.0,0.0,20,0.0,10
CCC(O)C1COC(=O)c2oc(-c3ccccc3)c(O)c2C1,1,1.9230769230769231,1,1.9230769230769231,0.14814814814814814,0.0,0.0,0.0,0.0,22,0.0,10
CCCCC1C(=O)c2ccccc2C1(C)C,1,1.9230769230769231,1,1.9230769230769231,0.1794871794871795,0.0,0.0,0.0,0.0,16,0.0,10
CN(CCOC1(O)C(=O)C=CC1OC(=O)c1ccccc1)c1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.16806722689075632,0.0,0.0,0.0,0.0,27,0.0,10
CC1CCC(=O)C2=C1CCOC2c1ccccc1,1,1.9230769230769231,1,1.9230769230769231,0.2235294117647059,0.0,0.0,0.0,0.0,18,0.0,10
O=C(CC(O)c1cccc2cccnc12)C(=O)c1ccc(Br)cc1,1,1.9230769230769231,1,1.9230769230769231,0.1588785046728972,0.0,0.0,0.0,0.0,24,0.0,10
