Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccccc1,39,39.39393939393939,31,59.61538461538461,0.00658505,0.0093631,0.0042445,"['O=C1CCC(c2ccccc2O)C(=O)N1', 'O=C(CC1CCc2ccccc2C1=O)C(=O)c1ccc(Cl)cc1', 'O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O', 'N#CC1CCC(=O)NC1c1ccccc1', 'O=CC1=CC1=CC(=O)c1ccc(Cl)cc1', 'CC[N+]1(C)CCC(=O)C(C)(c2ccccc2)C1=O', 'CC(C)(C)OC(=O)N1CCCCC1C(=O)c1ccccc1C(=O)c1ccccc1', 'O=C(O)c1ccc(N2C(=O)CC3(CC(=O)c4ccccc4O3)C2=O)cc1', 'O=C(COC(=O)Cc1cccc2cccnc12)OCCOCC(=O)c1ccccc1', 'O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1', 'O=C1C=CC(=Cc2ccccc2O)CC1', 'c1ccc(-c2oc3ccccc3c2-c2ccccc2)cc1', 'Cc1sc2ccccc2c(=O)c1Sc1ccc(OCC(=O)O)cc1', 'NC(=O)C1(c2ccccc2)NCCOc2ccccc21', 'O=C1COC(=C2C(=O)c3ccccc3N2CCc2ccccc2)C1', 'O=C(O)CCCC1COC(=O)C(O)C1=Cc1ccccc1', 'COC(=O)CC1=CCC2=CC(=O)NC2C1c1ccccc1', 'CN(CCOC1(O)C(=O)C=CC1OC(=O)c1ccccc1)c1ccccc1', 'CC=C1C(=O)N(CC)C(=O)CC1c1ccccc1', 'CCC1(OC(=O)c2ccccc2C)CCC(=O)C1C', 'O=CN1C(=S)N(Cc2ccccc2)C(=O)C(F)(F)C1c1cccc([N+](=O)[O-])c1', 'O=C1CC(COC(=O)OCc2ccccc2)CO1', 'CCC(Cc1ccccc1)OC(=O)C1(O)CC(=O)C=C1C(=O)c1ccccc1O', 'CCC(O)C1COC(=O)c2oc(-c3ccccc3)c(O)c2C1', 'O=CC1=Cc2ccccc2C(=O)C1c1ccc(Cl)cc1', 'O=C1NC(Cc2ccccc2)C(=O)C1c1ccccc1', 'CC1CCC(=O)C2=C1CCOC2c1ccccc1', 'NC(=O)C1(CC(=O)c2ccccc2)COCO1', 'O=C(Nc1ccccc1)C1OC1(O)C(=O)Nc1ccccc1', 'O=CN1c2ccccc2SC1C(=O)c1ccc(O)cc1', 'O=C(CC(O)c1cccc2cccnc12)C(=O)c1ccc(Br)cc1']",6,0.005118599999999999,10
C1CCOCC1,5,5.05050505050505,5,9.615384615384617,0.00658505,0.0026802,0.0076742,"['O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1', 'O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1', 'O=C(O)CCCC1COC(=O)C(O)C1=Cc1ccccc1', 'O=C1CCC(=C2Oc3ccccc3C2CCO)C(=O)O1', 'O=C1COC(=Cc2c[nH]c3ccccc23)CC1O']",6,-0.004994,10
C1CCNCC1,4,4.040404040404041,4,7.6923076923076925,0.00658505,0.0010444,0.00718475,"['O=C1CCC(c2ccccc2O)C(=O)N1', 'N#CC1CCC(=O)NC1c1ccccc1', 'CC(C)(C)OC(=O)N1CCCCC1C(=O)c1ccccc1C(=O)c1ccccc1', 'CC=C1C(=O)N(CC)C(=O)CC1c1ccccc1']",6,-0.00614035,10
C1CCNC1,3,3.0303030303030303,3,5.769230769230769,0.00658505,0.0066953,0.0064748,"['O=C1CCC(=C2CCc3ccccc32)N1', 'O=C(O)c1ccc(N2C(=O)CC3(CC(=O)c4ccccc4O3)C2=O)cc1', 'O=C1NC(Cc2ccccc2)C(=O)C1c1ccccc1']",5,0.0002205000000000002,10
c1ccc2occc2c1,3,3.0303030303030303,3,5.769230769230769,0.00658505,0.0168675,0.0064748,"['c1ccc(-c2oc3ccccc3c2-c2ccccc2)cc1', 'COCC1=CC1(C)SC(=O)Cc1coc2ccccc12', 'CCOC(=O)C(=Cc1coc2ccccc12)C(=O)OCC']",9,0.010392700000000001,10
c1ccc2c(c1)CCCC2,2,2.0202020202020203,2,3.8461538461538463,0.00658505,0.01719785,0.00658505,"['O=C(CC1CCc2ccccc2C1=O)C(=O)c1ccc(Cl)cc1', 'COC(=O)CC1Cc2ccccc2CC1(O)C(=O)OC']",10,0.0106128,10
C1=CC1,2,2.0202020202020203,2,3.8461538461538463,0.00658505,0.03551965,0.00658505,"['O=CC1=CC1=CC(=O)c1ccc(Cl)cc1', 'COCC1=CC1(C)SC(=O)Cc1coc2ccccc12']",3,0.028934599999999998,10
c1ccc2ncccc2c1,2,2.0202020202020203,2,3.8461538461538463,0.00658505,0.0263238,0.00628545,"['O=C(COC(=O)Cc1cccc2cccnc12)OCCOCC(=O)c1ccccc1', 'O=C(CC(O)c1cccc2cccnc12)C(=O)c1ccc(Br)cc1']",10,0.020038350000000003,10
C1CCSC1,2,2.0202020202020203,2,3.8461538461538463,0.00658505,0.00158345,0.00718475,"['NC(=O)C1(C2OC(=O)c3ccccc3O2)CSCC1=O', 'COC(=O)C1(C2(C)CSC(=O)C2(C)O)CSC(=O)C(=O)Nc2ccccc2C1']",5,-0.0056013,10
c1ccc2c(c1)CCC2,2,2.0202020202020203,2,3.8461538461538463,0.00658505,0.0132897,0.00628545,"['O=C1CCC(=C2CCc3ccccc32)N1', 'CCCCC1C(=O)c2ccccc2C1(C)C']",9,0.00700425,10
