Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
C1=C2C=c3ccccc3=CC(=C1)CCC2,1,1,60,60,1,[60],0.0,0.0,0.0,[0.0],-0.0048719,-0.0048719,-0.0048719,[-0.0048719],1,1,1.0,1,[1],{'O=C1CCc2cc(=O)c1c([O-])c1ccccc1c2=O'},1,1.0
C1=C2CCC(O2)c2ccccc21,2,1,60,40,2,"[40, 60]",0.1206392,0.0067135,0.06367635,"[0.0067135, 0.1206392]",0.1178828,0.00459155,0.061237175,"[0.00459155, 0.1178828]",1,1,1.0,2,"[1, 1]","{'CCSC(=O)C1(F)CC2=C(C)c3ccccc3C1O2', 'CCC(=O)C12CC(=O)C(=Cc3ccccc31)O2'}",2,1.0
C1=C2CCCC1c1ccccc12,1,1,40,40,1,[40],0.013749,0.013749,0.013749,[0.013749],0.01162705,0.01162705,0.01162705,[0.01162705],1,1,1.0,1,[1],{'O=C1CCC2C(Cl)=C1c1ccccc12'},1,1.0
C1=C2CCCC2CCc2ccccc21,1,1,30,30,1,[30],0.0393552,0.0393552,0.0393552,[0.0393552],0.0322299,0.0322299,0.0322299,[0.0322299],1,1,1.0,1,[1],{'CC(=O)C1Cc2ccccc2C=C2C(=O)CCC21'},1,1.0
C1=C2COCCC2c2ccccc2CS1,1,1,30,30,1,[30],0.001926,0.001926,0.001926,[0.001926],-0.0081981,-0.0081981,-0.0081981,[-0.0081981],1,1,1.0,1,[1],{'CC1(C)OCCC2C1=CSC(=O)c1ccccc12'},1,1.0
C1=C2Cc3ccccc3C2Cc2ccccc21,1,1,80,80,1,[80],0.0746594,0.0746594,0.0746594,[0.0746594],0.0680367,0.0680367,0.0680367,[0.0680367],1,1,1.0,1,[1],{'O=C1C2=Cc3ccc(F)cc3C(=O)C2(O)c2ccccc21'},1,1.0
C1=C2Cc3ccccc3N2CC1,1,1,120,120,1,[120],0.0,0.0,0.0,[0.0],-0.1597983499999999,-0.1597983499999999,-0.1597983499999999,[-0.1597983499999999],1,1,1.0,1,[1],{'O=C1C2=CCC(=O)N2c2ccccc21'},1,1.0
C1=C2Nc3ccccc3CCN2CCN1,1,1,50,50,1,[50],0.0027794,0.0027794,0.0027794,[0.0027794],-0.004363,-0.004363,-0.004363,[-0.004363],1,1,1.0,1,[1],{'CN1C=C2Nc3ccccc3CCN2CC1'},1,1.0
C1=C2c3ccccc3CCOC2CC1,1,1,50,50,1,[50],0.0339667,0.0339667,0.0339667,[0.0339667],0.0269089,0.0269089,0.0269089,[0.0269089],1,1,1.0,1,[1],{'COC(=O)C1=C2c3ccccc3CCOC2C(=O)C1(O)OC'},1,1.0
C1=CC1,3,2,110,10,2,"[10, 110]",0.1584931,0.03551965,0.097006375,"[0.03551965, 0.1584931]",0.0853218999999999,0.0289345999999999,0.057128249999999894,"[0.0289345999999999, 0.0853218999999999]",2,2,1.5,3,"[2, 1]","{'COCC1=CC1(C)SC(=O)Cc1coc2ccccc12', 'O=CC1=CC1=CC(=O)c1ccc(Cl)cc1', 'COCC1=CC1=CC(=O)c1ccc(-c2ccccc2OC)o1'}",3,1.0
