Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
Brc1ccc2c(-c3ccccc3)oc(-c3ccc(Br)o3)c2c1,1,1,420,420,1,[420],0.4515535,0.4515535,0.4515535,[0.4515535],0.0294109,0.0294109,0.0294109,[0.0294109],28,28,28.0,28,[28],"{'O=C1C(=Cc2ccccc2)N=C1c1ccc(Br)cc1', 'c1ccc(-c2oc(-c3ccco3)c3ccccc23)cc1', 'CC1(C)C=CC(c2oc(-c3ccc(Br)cc3)c3ccccc23)=C1', 'Brc1ccc2c(-c3ccccc3)oc(-c3ccc(Br)o3)c2c1', 'COc1ccc2c(-c3ccccc3)oc(-c3ccc(OC)c(OC)c3)c2c1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccco3)c3ccc(OC)cc23)cc1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(C)cc23)cc1', 'Cc1cc(-c2oc(-c3ccccc3)c3ccccc23)cc(C)c1N', 'CCOc1ccc(-c2oc(-c3ccc(F)cc3)c3ccc(C)cc23)cc1', 'CCSc1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1', 'CCCc1cc(-c2oc(-c3ccccc3)c3ccccc23)co1', 'CN(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)cc1', 'CCC(C)(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)o1', 'CC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1', 'CC(C)(C)c1cc(-c2oc(-c3ccccc3)c3ccccc23)c(C(C)(C)C)cc1O', 'CCOC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)co1', 'CCOc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1O', 'CCc1cc(-c2oc(-c3ccccc3)c3ccc(F)cc23)co1', 'CCc1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)cc1Br', 'Cc1ccc(-c2oc(-c3ccccc3)c3ccc(C)cc23)cc1', 'CC(O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'Cc1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1Br', 'FC(F)(F)c1cc(-c2oc(-c3ccccc3)c3ccccc23)ccc1Cl', 'COc1cc(-c2oc(-c3ccccc3)c3cccc(OC)c23)cc(OC)c1OC', 'COCc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1O', 'COc1ccc2c(-c3ccc(OC)c(OC)c3)oc(-c3ccccc3)c2c1', 'Nc1ccc(-c2oc(-c3ccccc3)c3cccc(F)c23)cc1'}",27,1.0
Brc1ccc2c(-c3ccccc3)oc(-c3ccco3)c2c1,1,1,500,500,1,[500],0.4543324,0.4543324,0.4543324,[0.4543324],-0.0008502499999999,-0.0008502499999999,-0.0008502499999999,[-0.0008502499999999],14,14,14.0,14,[14],"{'Brc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1', 'CC(=O)Nc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'O=C1C=NC(=C2CC(=O)Oc3ccccc3N2)O1', 'NCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'COC(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CSc1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)o1', 'O=C1C=NC1=Cc1ccco1', 'Brc1ccc(-c2oc(-c3ccco3)c3ccccc23)cc1', 'CON(C)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'CCOc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1', 'Brc1ccc2c(-c3ccccc3)oc(-c3ccco3)c2c1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1', 'Cc1ccc(-c2oc(-c3cc(C)cc(C)c3)c3ccccc23)cc1'}",13,1.0
C#Cc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,1,240,240,1,[240],0.4538872,0.4538872,0.4538872,[0.4538872],0.0360568,0.0360568,0.0360568,[0.0360568],2,2,2.0,2,[2],{'C#Cc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1'},1,1.0
C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1,1,1,90,90,1,[90],0.0993706,0.0993706,0.0993706,[0.0993706],0.0725146,0.0725146,0.0725146,[0.0725146],4,4,4.0,4,[4],"{'O=C1c2ccccc2C(=O)c2c1ccc1ccccc21', 'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1', 'O=C1c2cc(-c3ccccc3)oc2C(=O)C2C(=O)C=CC12'}",3,1.0
CC(=O)C1=C(C(C)=O)OC(=Cc2cccc3cccnc23)O1,1,1,70,70,1,[70],0.0919774,0.0919774,0.0919774,[0.0919774],0.0822573,0.0822573,0.0822573,[0.0822573],2,2,2.0,2,[2],{'CC(=O)C1=C(C(C)=O)OC(=Cc2cccc3cccnc23)O1'},1,1.0
CC(=O)C1c2ccccc2C2c3ccccc3OC12,1,1,60,60,1,[60],0.0027564,0.0027564,0.0027564,[0.0027564],-0.0021155,-0.0021155,-0.0021155,[-0.0021155],2,2,2.0,2,[2],{'CC(=O)C1c2ccccc2C2c3ccccc3OC12'},1,1.0
CC(=O)Nc1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1,1,1,480,480,1,[480],0.4473388,0.4473388,0.4473388,[0.4473388],0.0107099999999999,0.0107099999999999,0.0107099999999999,[0.0107099999999999],6,6,6.0,6,[6],"{'CNc1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1', 'CC(=O)Nc1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1', 'Cc1cc(-c2oc(-c3ccccc3)c3ccccc23)ccn1', 'c1ccc(Cc2ccc3c(-c4ccccc4)oc(-c4ccccc4)c3c2)cc1', 'CNc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1'}",5,1.0
CC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(C)cc23)cc1,1,1,480,480,1,[480],0.4667497,0.4667497,0.4667497,[0.4667497],0.0284939,0.0284939,0.0284939,[0.0284939],2,2,2.0,2,[2],{'CC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(C)cc23)cc1'},1,1.0
CC(=O)Oc1ccc(C2=Nc3ccccc3C2=O)cc1,1,1,100,100,1,[100],0.1596227,0.1596227,0.1596227,[0.1596227],0.13096455,0.13096455,0.13096455,[0.13096455],2,2,2.0,2,[2],{'CC(=O)Oc1ccc(C2=Nc3ccccc3C2=O)cc1'},1,1.0
CC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,1,60,60,1,[60],0.4420024,0.4420024,0.4420024,[0.4420024],0.439246,0.439246,0.439246,[0.439246],2,2,2.0,2,[2],{'CC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1'},1,1.0
