Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
Brc1ccc2c(-c3ccccc3)oc(-c3ccc(Br)o3)c2c1,1,0.27472527472527475,4,1.098901098901099
Brc1ccc2c(-c3ccccc3)oc(-c3ccco3)c2c1,1,0.27472527472527475,18,4.945054945054945
C#Cc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.27472527472527475,4,1.098901098901099
C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1,1,0.27472527472527475,5,1.3736263736263736
CC(=O)C1=C(C(C)=O)OC(=Cc2cccc3cccnc23)O1,1,0.27472527472527475,2,0.5494505494505495
Cc1cc(S(=O)(=O)Nc2ccccc2Cl)no1,1,0.27472527472527475,2,0.5494505494505495
CC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.27472527472527475,5,1.3736263736263736
CC(C)(C)C(C)(OC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1,1,0.27472527472527475,6,1.6483516483516485
O=C1NC(c2ccccc2)=NC1=C1C(=O)Oc2ccccc2N1O,1,0.27472527472527475,2,0.5494505494505495
CC(C)S(=O)(=O)c1coc(-c2ccc(F)cc2)c1,1,0.27472527472527475,2,0.5494505494505495
CC(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1,1,0.27472527472527475,3,0.8241758241758242
CC1(C)OC(=Cc2cccc3cccnc23)C1=O,1,0.27472527472527475,2,0.5494505494505495
CC1(C)OC(=O)N(Cc2ccccc2)C1=O,1,0.27472527472527475,3,0.8241758241758242
NC(=O)C1Cc2ccccc2Oc2ccc(Cl)cc21,1,0.27472527472527475,2,0.5494505494505495
NC(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1,1,0.27472527472527475,3,0.8241758241758242
NC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.27472527472527475,2,0.5494505494505495
CCC(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)cc1,1,0.27472527472527475,3,0.8241758241758242
CCOC(=O)C(=Cc1coc2ccccc12)C(=O)OCC,1,0.27472527472527475,2,0.5494505494505495
CCOC(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1,1,0.27472527472527475,2,0.5494505494505495
CN(C)c1cccc2ccc(=O)n(C)c12,1,0.27472527472527475,2,0.5494505494505495
CN1C(=O)c2ccccc2C1=O,1,0.27472527472527475,2,0.5494505494505495
CNc1ccc(-c2oc(-c3ccc(COC)cc3)c3ccccc23)cc1,1,0.27472527472527475,2,0.5494505494505495
COC(=O)C1(C(=O)OC)Cc2ccccc2C1=O,1,0.27472527472527475,2,0.5494505494505495
COC(=O)C1(C2(C(=O)OC)CS(=O)(=O)c3ccccc32)SCS1,1,0.27472527472527475,2,0.5494505494505495
COC(=O)C1(C2(C)OC(=O)CC2C)CCOc2ccccc21,1,0.27472527472527475,4,1.098901098901099
O=C1C2=CCC(=O)N2c2ccccc21,1,0.27472527472527475,2,0.5494505494505495
COC(=O)C1=C(c2ccccc2)c2ccccc2OC(=O)C1(C)O,1,0.27472527472527475,2,0.5494505494505495
COC(=O)C1=C2c3ccccc3CCOC2C(=O)C1(O)OC,1,0.27472527472527475,10,2.7472527472527473
COC(=O)c1c(C)noc1-c1ccc(-c2ncc(N)s2)s1,1,0.27472527472527475,2,0.5494505494505495
COC(=O)c1cc2oc(-c3ccccc3)c(O)c2c(=O)[nH]1,1,0.27472527472527475,2,0.5494505494505495
COCC1=CC1(C)SC(=O)Cc1coc2ccccc12,1,0.27472527472527475,6,1.6483516483516485
COCOc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.27472527472527475,2,0.5494505494505495
COCc1ccc(CC2CC(=O)N(Cc3ccccc3)C2=O)cc1,1,0.27472527472527475,6,1.6483516483516485
COc1ccc(-c2oc(-c3ccc(C)cc3)c3ccc(O)cc23)cc1O,1,0.27472527472527475,2,0.5494505494505495
CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1,1,0.27472527472527475,3,0.8241758241758242
