Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
c1ccc2cccc2c1,78,35.294117647058826,26,89.65517241379311
c1ccc(-c2ccc3ccccc23)cc1,50,22.624434389140273,25,86.20689655172413
c1ccc(-c2cc(-c3ccccc3)c3ccccc23)cc1,30,13.574660633484163,15,51.724137931034484
c1ccc(-c2ccc3ccccc23)c1,22,9.95475113122172,11,37.93103448275862
c1ccc(-c2cc(-c3cccc3)c3ccccc23)cc1,20,9.049773755656108,10,34.48275862068966
c1ccccc1,13,5.88235294117647,13,44.827586206896555
c1cccc1,2,0.904977375565611,2,6.896551724137931
C=C1C=CC(=Cc2cccc2)C1,2,0.904977375565611,1,3.4482758620689653
C=C1C=CC1=Cc1cccc1,1,0.4524886877828055,1,3.4482758620689653
C=C1C=CC(=C2CC(=C)Cc3ccccc3C2)C1,1,0.4524886877828055,1,3.4482758620689653
c1ccc2c(c1)CCCCC2,1,0.4524886877828055,1,3.4482758620689653
c1ccc(-c2cc(-c3cccc3)c3ccccc23)c1,1,0.4524886877828055,1,3.4482758620689653
