Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccccc1,26,10.317460317460316,15,28.846153846153843,0.00658505,0.0134581,0.0031669,"['O=C(CC1CCc2ccccc2C1=O)C(=O)c1ccc(Cl)cc1', 'O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O', 'CC(C)(C)OC(=O)N1CCCCC1C(=O)c1ccccc1C(=O)c1ccccc1', 'O=C(O)c1ccc(N2C(=O)CC3(CC(=O)c4ccccc4O3)C2=O)cc1', 'O=C(COC(=O)Cc1cccc2cccnc12)OCCOCC(=O)c1ccccc1', 'Cc1sc2ccccc2c(=O)c1Sc1ccc(OCC(=O)O)cc1', 'O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1', 'O=C1COC(=C2C(=O)c3ccccc3N2CCc2ccccc2)C1', 'CN(CCOC1(O)C(=O)C=CC1OC(=O)c1ccccc1)c1ccccc1', 'O=C1CCC(C2(C(=O)O)c3ccccc3C(=O)N2O)CC1', 'O=CN1C(=S)N(Cc2ccccc2)C(=O)C(F)(F)C1c1cccc([N+](=O)[O-])c1', 'CCC(Cc1ccccc1)OC(=O)C1(O)CC(=O)C=C1C(=O)c1ccccc1O', 'O=C(Nc1ccccc1)C1OC1(O)C(=O)Nc1ccccc1', 'O=CN1c2ccccc2SC1C(=O)c1ccc(O)cc1', 'O=C(CC(O)c1cccc2cccnc12)C(=O)c1ccc(Br)cc1']",6,0.0102912,10
c1ccc2cccc2c1,12,4.761904761904762,4,7.6923076923076925,0.00658505,0.01725005,0.00628545,"['c1ccc(-c2oc3ccccc3c2-c2ccccc2)cc1', 'COCC1=CC1(C)SC(=O)Cc1coc2ccccc12', 'CCOC(=O)C(=Cc1coc2ccccc12)C(=O)OCC', 'O=C1COC(=Cc2c[nH]c3ccccc23)CC1O']",9,0.0109646,10
c1ccc2c(c1)CCC2,9,3.571428571428571,7,13.461538461538462,0.00658505,0.010394,0.0064748,"['O=C1CCC(=C2CCc3ccccc32)N1', 'O=C1CCC(CC2OC(=O)c3ccccc32)CCO1', 'CCCCC1C(=O)c2ccccc2C1(C)C', 'O=C1COC(=C2C(=O)c3ccccc3N2CCc2ccccc2)C1', 'O=C1CCC(C2(C(=O)O)c3ccccc3C(=O)N2O)CC1', 'O=C1CCC(=C2Oc3ccccc3C2CCO)C(=O)O1', 'O=CN1c2ccccc2SC1C(=O)c1ccc(O)cc1']",9,0.0039192,10
c1ccc2c(c1)CCCC2,8,3.1746031746031744,6,11.538461538461538,0.00658505,0.00628545,0.00793795,"['O=C(CC1CCc2ccccc2C1=O)C(=O)c1ccc(Cl)cc1', 'NC(=O)C1(C2OC(=O)c3ccccc3O2)CSCC1=O', 'O=CC1CC(=O)c2ccccc2O1', 'O=C(O)c1ccc(N2C(=O)CC3(CC(=O)c4ccccc4O3)C2=O)cc1', 'O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1', 'COC(=O)CC1Cc2ccccc2CC1(O)C(=O)OC']",10,-0.0016524999999999995,10
C=C1CCCC(=C)C1,8,3.1746031746031744,4,7.6923076923076925,0.00658505,0.00345715,0.00718475,"['O=C1CCC(c2ccccc2O)C(=O)N1', 'O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1', 'O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1', 'O=CN1C(=S)N(Cc2ccccc2)C(=O)C(F)(F)C1c1cccc([N+](=O)[O-])c1']",8,-0.0037276,10
C=C1CCCc2ccccc21,8,3.1746031746031744,4,7.6923076923076925,0.00658505,0.00628545,0.00718475,"['O=C(CC1CCc2ccccc2C1=O)C(=O)c1ccc(Cl)cc1', 'NC(=O)C1(C2OC(=O)c3ccccc3O2)CSCC1=O', 'O=CC1CC(=O)c2ccccc2O1', 'O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1']",11,-0.0008993000000000004,10
C=C1CCc2ccccc21,7,2.7777777777777777,3,5.769230769230769,0.00658505,0.0026552,0.0066953,"['O=C1CCC(CC2OC(=O)c3ccccc32)CCO1', 'CCCCC1C(=O)c2ccccc2C1(C)C', 'O=C1CCC(C2(C(=O)O)c3ccccc3C(=O)N2O)CC1']",10,-0.0040401000000000005,10
c1ccc2ccccc2c1,6,2.380952380952381,2,3.8461538461538463,0.00658505,0.0263238,0.00628545,"['O=C(COC(=O)Cc1cccc2cccnc12)OCCOCC(=O)c1ccccc1', 'O=C(CC(O)c1cccc2cccnc12)C(=O)c1ccc(Br)cc1']",10,0.020038350000000003,10
c1ccc2c(c1)CCCCC2,6,2.380952380952381,4,7.6923076923076925,0.00658505,0.003038,0.00718475,"['O=CC1CSC(=O)Nc2ccccc21', 'O=C(O)C(=O)CC1CC(=O)C(O)C(O)c2ccccc21', 'NC(=O)C1(c2ccccc2)NCCOc2ccccc21', 'CC1C(=O)C(CC(C)(C)C)SS(=O)(=O)c2ccccc21']",11,-0.00414675,10
C=C1CCCCCC1,3,1.1904761904761905,1,1.9230769230769231,0.00658505,0.0006791,0.0066953,['O=C1CCC(CC2OC(=O)c3ccccc32)CCO1'],8,-0.0060162,10
