Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
C(#Cc1ccccc1)C=Cc1ccccc1,2,2,30,30,1,[30],0.0,0.0,0.0,[0.0],-0.0101241,-0.0101241,-0.0101241,[-0.0101241],1,1,1.0,1,[1],{'CC(=O)OC(=CC#Cc1ccccc1)c1ccccc1'},1,1.0
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,2,2,440,440,1,[440],0.0,0.0,0.0,[0.0],-0.4455579,-0.4455579,-0.4455579,[-0.4455579],1,1,1.0,1,[1],{'CC(=C(c1ccccc1)c1ccc(C)cc1)c1ccccc1'},1,1.0
C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(-c2ccccc2)c1,4,2,270,190,2,"[190, 270]",0.3199604,0.3137743,0.31686735,"[0.3199604, 0.3137743]",-0.0860338,-0.11244915,-0.099241475,"[-0.0860338, -0.11244915]",1,1,1.0,2,"[1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1'}",2,1.0
C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1,1,1,90,90,1,[90],0.2805677,0.2805677,0.2805677,[0.2805677],0.2537117,0.2537117,0.2537117,[0.2537117],1,1,1.0,1,[1],{'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1'},1,1.0
C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1cccc1,4,2,270,190,2,"[190, 270]",0.3199604,0.3137743,0.31686735,"[0.3199604, 0.3137743]",-0.0860338,-0.11244915,-0.099241475,"[-0.0860338, -0.11244915]",1,1,1.0,2,"[1, 1]","{'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccccc3)o2)cc1', 'Clc1ccc(C2=CC(c3ccccc3)=CC2=Cc2ccc(-c3ccc(Cl)cc3)o2)cc1'}",2,1.0
C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccccc1,2,2,90,90,1,[90],0.2805677,0.2805677,0.2805677,[0.2805677],0.2537117,0.2537117,0.2537117,[0.2537117],1,1,1.0,1,[1],{'C(=C1C=C(c2ccccc2)C=C1c1ccccc1)c1ccc(Cc2ccccc2)cc1'},1,1.0
C(=C1CC1)c1ccccc1,2,2,110,110,1,[110],0.0146462,0.0146462,0.0146462,[0.0146462],-0.0792466,-0.0792466,-0.0792466,[-0.0792466],1,1,1.0,1,[1],{'O=[N+]([O-])c1ccc(C2OC2=C(O)c2ccccc2)cc1'},1,1.0
C(=C1CC1c1ccccc1)c1ccccc1,2,2,110,110,1,[110],0.0146462,0.0146462,0.0146462,[0.0146462],-0.0792466,-0.0792466,-0.0792466,[-0.0792466],1,1,1.0,1,[1],{'O=[N+]([O-])c1ccc(C2OC2=C(O)c2ccccc2)cc1'},1,1.0
C(=C1CCCc2ccccc21)c1ccccc1,2,2,80,80,1,[80],0.0359089,0.0359089,0.0359089,[0.0359089],0.0292862,0.0292862,0.0292862,[0.0292862],1,1,1.0,1,[1],{'FC(F)(F)C1OC(=Cc2ccccc2)c2ccccc2O1'},1,1.0
C(=Cc1ccc2ccccc12)c1ccccc1,4,2,90,70,2,"[70, 90]",0.0,0.0,0.0,"[0.0, 0.0]",-0.011562,-0.033652,-0.022607000000000002,"[-0.011562, -0.033652]",1,1,1.0,2,"[1, 1]","{'CS(=O)(=O)OC(=Cc1coc2ccccc12)c1ccccc1', 'O=CSC(=Cc1coc2ccccc12)c1ccc(Cl)cc1'}",2,1.0
