Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
c1ccc2cocc2c1,52,23.52941176470588,26,89.65517241379311
*c1oc(*)c2ccccc12,26,11.76470588235294,26,89.65517241379311
c1ccc(-c2occ3ccccc23)cc1,25,11.312217194570136,25,86.20689655172413
*c1oc(-c2ccccc2)c2ccccc12,25,11.312217194570136,25,86.20689655172413
c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,15,6.787330316742081,15,51.724137931034484
*c1oc(-c2ccco2)c2ccccc12,8,3.619909502262444,8,27.586206896551722
c1coc(-c2occ3ccccc23)c1,8,3.619909502262444,8,27.586206896551722
c1ccc(-c2oc(-c3ccco3)c3ccccc23)cc1,7,3.167420814479638,7,24.137931034482758
c1ccc(-c2oc(-c3cccs3)c3ccccc23)cc1,2,0.904977375565611,2,6.896551724137931
c1csc(-c2occ3ccccc23)c1,2,0.904977375565611,2,6.896551724137931
CC(=O)Nc1ccccc1,2,0.904977375565611,2,6.896551724137931
COc1ccccc1,2,0.904977375565611,2,6.896551724137931
*c1oc(-c2cccs2)c2ccccc12,2,0.904977375565611,2,6.896551724137931
CSc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)o1,1,0.4524886877828055,1,3.4482758620689653
O=C1C=NC1=Cc1ccco1,1,0.4524886877828055,1,3.4482758620689653
CCNc1ccccc1,1,0.4524886877828055,1,3.4482758620689653
CCNc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
CC(C)c1ccccc1,1,0.4524886877828055,1,3.4482758620689653
CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1,1,0.4524886877828055,1,3.4482758620689653
CS(=O)(=O)c1ccco1,1,0.4524886877828055,1,3.4482758620689653
Cc1cccc(C)c1,1,0.4524886877828055,1,3.4482758620689653
Cc1ccc(-c2oc(-c3cc(C)cc(C)c3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
CC(=O)Oc1ccccc1,1,0.4524886877828055,1,3.4482758620689653
CSc1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)o1,1,0.4524886877828055,1,3.4482758620689653
CC(C)c1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
Brc1ccc2c(-c3ccccc3)oc(-c3ccco3)c2c1,1,0.4524886877828055,1,3.4482758620689653
Brc1ccc(-c2oc(-c3ccco3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
ClCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1,1,0.4524886877828055,1,3.4482758620689653
CC(=O)Oc1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
CC(C)c1cccs1,1,0.4524886877828055,1,3.4482758620689653
CCOc1ccccc1,1,0.4524886877828055,1,3.4482758620689653
CCOc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1,1,0.4524886877828055,1,3.4482758620689653
CC(=O)Nc1ccc(-c2oc(-c3ccoc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
CC(C)c1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)s1,1,0.4524886877828055,1,3.4482758620689653
c1ccc(-c2oc(-c3ccoc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
c1ccc2c(-c3ccoc3)occ2c1,1,0.4524886877828055,1,3.4482758620689653
Brc1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1,1,0.4524886877828055,1,3.4482758620689653
NCc1ccccc1,1,0.4524886877828055,1,3.4482758620689653
NCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
CC(=O)Nc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
Brc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1,1,0.4524886877828055,1,3.4482758620689653
*c1oc(-c2ccoc2)c2ccccc12,1,0.4524886877828055,1,3.4482758620689653
COc1ccc(-c2oc(-c3ccccc3)c3ccc(OC)cc23)cc1,1,0.4524886877828055,1,3.4482758620689653
O=C1C=NC(=C2CC(=O)Oc3ccccc3N2)O1,1,0.4524886877828055,1,3.4482758620689653
c1ccc2c(c1)NCCCO2,1,0.4524886877828055,1,3.4482758620689653
CON(C)c1ccccc1,1,0.4524886877828055,1,3.4482758620689653
CON(C)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
Nc1ccc(-c2oc(-c3cccs3)c3ccc(Br)cc23)cc1,1,0.4524886877828055,1,3.4482758620689653
Nc1ccc(-c2oc(-c3ccccc3)c3cc(Br)ccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
O=C1OC(=Cc2ccco2)N=C1O,1,0.4524886877828055,1,3.4482758620689653
O=C1C=NC(=Cc2ccco2)O1,1,0.4524886877828055,1,3.4482758620689653
COC(=O)c1ccccc1,1,0.4524886877828055,1,3.4482758620689653
COC(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
Clc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
COc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
CCC(=O)Oc1ccccc1,1,0.4524886877828055,1,3.4482758620689653
CCC(=O)Oc1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1,1,0.4524886877828055,1,3.4482758620689653
c1coc(-c2oc(-c3ccco3)c3ccccc23)c1,1,0.4524886877828055,1,3.4482758620689653
