Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccc2occc2c1,6,2.380952380952381,3,5.769230769230769,0.00658505,0.0168675,0.0064748,"['COCC1=CC1(C)SC(=O)Cc1coc2ccccc12', 'CCOC(=O)C(=Cc1coc2ccccc12)C(=O)OCC', 'c1ccc(-c2oc3ccccc3c2-c2ccccc2)cc1']",9,0.010392700000000001,10
c1ccc2ncccc2c1,4,1.5873015873015872,2,3.8461538461538463,0.00658505,0.0263238,0.00628545,"['O=C(CC(O)c1cccc2cccnc12)C(=O)c1ccc(Br)cc1', 'O=C(COC(=O)Cc1cccc2cccnc12)OCCOCC(=O)c1ccccc1']",10,0.020038350000000003,10
c1ccc2c(c1)CCCC2,3,1.1904761904761905,2,3.8461538461538463,0.00658505,0.01719785,0.00658505,"['COC(=O)CC1Cc2ccccc2CC1(O)C(=O)OC', 'O=C(CC1CCc2ccccc2C1=O)C(=O)c1ccc(Cl)cc1']",10,0.0106128,10
O=Cc1ccccc1,3,1.1904761904761905,3,5.769230769230769,0.00658505,0.0109374,0.0060961,"['O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O', 'CN(CCOC1(O)C(=O)C=CC1OC(=O)c1ccccc1)c1ccccc1', 'CC(C)(C)OC(=O)N1CCCCC1C(=O)c1ccccc1C(=O)c1ccccc1']",8,0.0048413,10
O=C1CCCC(=O)O1,2,0.7936507936507936,2,3.8461538461538463,0.00658505,0.00338425,0.00718475,"['O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1', 'O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1']",8,-0.0038005,10
O=C(O)c1ccccc1,2,0.7936507936507936,2,3.8461538461538463,0.00658505,0.01010645,0.00628545,"['O=C(O)c1ccc(N2C(=O)CC3(CC(=O)c4ccccc4O3)C2=O)cc1', 'CN(CCOC1(O)C(=O)C=CC1OC(=O)c1ccccc1)c1ccccc1']",9,0.0038209999999999997,10
c1ccc2c(c1)CCC2,2,0.7936507936507936,2,3.8461538461538463,0.00658505,0.0132897,0.00628545,"['CCCCC1C(=O)c2ccccc2C1(C)C', 'O=C1CCC(=C2CCc3ccccc32)N1']",9,0.00700425,10
*C1CCC(=O)OC1=O,2,0.7936507936507936,2,3.8461538461538463,0.00658505,0.00338425,0.00718475,"['O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1', 'O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1']",9,-0.0038005,10
*c1ccccc1*,2,0.7936507936507936,2,3.8461538461538463,0.00658505,0.00956955,0.00628545,"['O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O', 'CC(C)(C)OC(=O)N1CCCCC1C(=O)c1ccccc1C(=O)c1ccccc1']",8,0.0032841,10
*c1cccc2cccnc12,2,0.7936507936507936,2,3.8461538461538463,0.00658505,0.0263238,0.00628545,"['O=C(CC(O)c1cccc2cccnc12)C(=O)c1ccc(Br)cc1', 'O=C(COC(=O)Cc1cccc2cccnc12)OCCOCC(=O)c1ccccc1']",11,0.020038350000000003,10
c1ccc2c(c1)CCCO2,2,0.7936507936507936,2,3.8461538461538463,0.00658505,0.006395700000000001,0.0070745,"['O=C(O)c1ccc(N2C(=O)CC3(CC(=O)c4ccccc4O3)C2=O)cc1', 'O=CC1CC(=O)c2ccccc2O1']",10,-0.0006787999999999994,10
c1ccc2c(c1)CNCCO2,2,0.7936507936507936,1,1.9230769230769231,0.00658505,0.0004396,0.0066953,['NC(=O)C1(c2ccccc2)NCCOc2ccccc21'],11,-0.0062557,10
c1ccc2c(c1)NCS2,2,0.7936507936507936,1,1.9230769230769231,0.00658505,0.0118806,0.0064748,['O=CN1c2ccccc2SC1C(=O)c1ccc(O)cc1'],9,0.0054058,10
c1ccc2[nH]ccc2c1,2,0.7936507936507936,1,1.9230769230769231,0.00658505,0.018847,0.0064748,['O=C1COC(=Cc2c[nH]c3ccccc23)CC1O'],9,0.0123722,10
c1ccc(CC2NCCO2)cc1,1,0.3968253968253968,1,1.9230769230769231,0.00658505,0.0002937,0.0066953,['O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1'],12,-0.0064016,10
O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1,1,0.3968253968253968,1,1.9230769230769231,0.00658505,0.0002937,0.0066953,['O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1'],20,-0.0064016,10
