Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
*C1(*)C(=O)NC1=O,1,1,80,80,1,[80],0.0003917,0.0003917,0.0003917,[0.0003917],-0.0063059,-0.0063059,-0.0063059,[-0.0063059],1,1,1.0,1,[1],{'CN1C(=O)C(CC2=NCCO2)(c2ccccc2)C1=O'},1,1.0
*C1(*)C(=O)c2ccccc2C1=O,2,1,60,40,2,"[40, 60]",0.0253654,0.0104213,0.01789335,"[0.0104213, 0.0253654]",0.022609,0.00829935,0.015454175,"[0.00829935, 0.022609]",1,1,1.0,2,"[1, 1]","{'O=C1c2ccccc2C(=O)C1(Cc1ccc(Br)cc1)S(=O)(=O)c1ccc(Cl)cc1', 'O=C1c2ccccc2C(=O)C1(Cc1ccc(Br)cc1)S(=O)(=O)c1ccc(Br)cc1'}",2,1.0
*C1(*)CCCC(=O)O1,1,1,20,20,1,[20],0.0033443,0.0033443,0.0033443,[0.0033443],-0.0001414999999999,-0.0001414999999999,-0.0001414999999999,[-0.0001414999999999],1,1,1.0,1,[1],{'O=C1CCC(C2(CC(=O)c3ccccc3)CCCC(=O)O2)C(=O)N1'},1,1.0
*C1(*)CCCc2ccccc21,1,1,40,40,1,[40],0.0032573,0.0032573,0.0032573,[0.0032573],0.0011353499999999,0.0011353499999999,0.0011353499999999,[0.0011353499999999],1,1,1.0,1,[1],{'O=C1CCC(C2(CC(=O)c3ccccc3)CCCc3ccccc32)C1'},1,1.0
*C1(C(=O)NCc2ccccc2)OCCO1,1,1,40,40,1,[40],0.0016031,0.0016031,0.0016031,[0.0016031],-0.0010146,-0.0010146,-0.0010146,[-0.0010146],1,1,1.0,1,[1],{'CC1CC(=O)C(C2(C(=O)NCc3ccccc3)OCCO2)O1'},1,1.0
*C1(C2CCC(=O)C2)CCCc2ccccc21,1,1,40,40,1,[40],0.0032573,0.0032573,0.0032573,[0.0032573],0.0011353499999999,0.0011353499999999,0.0011353499999999,[0.0011353499999999],1,1,1.0,1,[1],{'O=C1CCC(C2(CC(=O)c3ccccc3)CCCc3ccccc32)C1'},1,1.0
*C1(C2CCC(=O)CC2=O)OCCO1,1,1,70,70,1,[70],0.0049993,0.0049993,0.0049993,[0.0049993],-0.0065626999999999,-0.0065626999999999,-0.0065626999999999,[-0.0065626999999999],1,1,1.0,1,[1],{'O=C1CCC(C2(CC(=O)c3ccccc3)OCCO2)C(=O)C1'},1,1.0
*C1(C2CCC(=O)NC2=O)CCCC(=O)O1,1,1,20,20,1,[20],0.0033443,0.0033443,0.0033443,[0.0033443],-0.0001414999999999,-0.0001414999999999,-0.0001414999999999,[-0.0001414999999999],1,1,1.0,1,[1],{'O=C1CCC(C2(CC(=O)c3ccccc3)CCCC(=O)O2)C(=O)N1'},1,1.0
*C1(C2CCC(=O)NC2=O)N=N1,1,1,50,50,1,[50],0.0700594,0.0700594,0.0700594,[0.0700594],0.0630015999999999,0.0630015999999999,0.0630015999999999,[0.0630015999999999],1,1,1.0,1,[1],{'O=C1CCC(C2(Cc3ccccc3)N=N2)C(=O)N1'},1,1.0
*C1(C2CCC(=O)OC2=O)NCCO1,1,1,10,10,1,[10],0.0002937,0.0002937,0.0002937,[0.0002937],-0.0064016,-0.0064016,-0.0064016,[-0.0064016],1,1,1.0,1,[1],{'O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1'},1,1.0
*C1(C2OCCC2=O)OCCO1,1,1,40,40,1,[40],0.0016031,0.0016031,0.0016031,[0.0016031],-0.0010146,-0.0010146,-0.0010146,[-0.0010146],1,1,1.0,1,[1],{'CC1CC(=O)C(C2(C(=O)NCc3ccccc3)OCCO2)O1'},1,1.0
*C1(CC(=O)c2ccccc2)CCCC(=O)O1,1,1,20,20,1,[20],0.0033443,0.0033443,0.0033443,[0.0033443],-0.0001414999999999,-0.0001414999999999,-0.0001414999999999,[-0.0001414999999999],1,1,1.0,1,[1],{'O=C1CCC(C2(CC(=O)c3ccccc3)CCCC(=O)O2)C(=O)N1'},1,1.0
*C1(CC(=O)c2ccccc2)CCCc2ccccc21,1,1,40,40,1,[40],0.0032573,0.0032573,0.0032573,[0.0032573],0.0011353499999999,0.0011353499999999,0.0011353499999999,[0.0011353499999999],1,1,1.0,1,[1],{'O=C1CCC(C2(CC(=O)c3ccccc3)CCCc3ccccc32)C1'},1,1.0
*C1(CC(=O)c2ccccc2)OCCO1,1,1,70,70,1,[70],0.0049993,0.0049993,0.0049993,[0.0049993],-0.0065626999999999,-0.0065626999999999,-0.0065626999999999,[-0.0065626999999999],1,1,1.0,1,[1],{'O=C1CCC(C2(CC(=O)c3ccccc3)OCCO2)C(=O)C1'},1,1.0
*C1(CC2=NCCO2)C(=O)NC1=O,1,1,80,80,1,[80],0.0003917,0.0003917,0.0003917,[0.0003917],-0.0063059,-0.0063059,-0.0063059,[-0.0063059],1,1,1.0,1,[1],{'CN1C(=O)C(CC2=NCCO2)(c2ccccc2)C1=O'},1,1.0
*C1(Cc2ccccc2)C(=O)c2ccccc2C1=O,2,1,60,40,2,"[40, 60]",0.0253654,0.0104213,0.01789335,"[0.0104213, 0.0253654]",0.022609,0.00829935,0.015454175,"[0.00829935, 0.022609]",1,1,1.0,2,"[1, 1]","{'O=C1c2ccccc2C(=O)C1(Cc1ccc(Br)cc1)S(=O)(=O)c1ccc(Cl)cc1', 'O=C1c2ccccc2C(=O)C1(Cc1ccc(Br)cc1)S(=O)(=O)c1ccc(Br)cc1'}",2,1.0
*C1(Cc2ccccc2)N=N1,1,1,50,50,1,[50],0.0700594,0.0700594,0.0700594,[0.0700594],0.0630015999999999,0.0630015999999999,0.0630015999999999,[0.0630015999999999],1,1,1.0,1,[1],{'O=C1CCC(C2(Cc3ccccc3)N=N2)C(=O)N1'},1,1.0
*C1(Cc2ccccc2)NCCO1,1,1,10,10,1,[10],0.0002937,0.0002937,0.0002937,[0.0002937],-0.0064016,-0.0064016,-0.0064016,[-0.0064016],1,1,1.0,1,[1],{'O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1'},1,1.0
